id,region,country,item_type,sales_channel,order_priority,order_date,order_id,ship_date,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit,created_at,updated_at
32,"Australia and Oceania",Tuvalu,Household,Online,M,2014-03-03T00:00:00.000000Z,141747939,2014-03-10T00:00:00.000000Z,5220,668.27,502.54,3488369.40,2623258.80,865110.60,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
33,Asia,"South Korea",Cereal,Offline,H,2015-01-23T00:00:00.000000Z,733410203,2015-02-24T00:00:00.000000Z,1232,205.70,117.11,253422.40,144279.52,109142.88,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
34,Europe,"San Marino",Meat,Offline,L,2017-03-17T00:00:00.000000Z,215851581,2017-03-19T00:00:00.000000Z,4134,421.89,364.69,1744093.26,1507628.46,236464.80,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
35,"Central America and the Caribbean","Trinidad and Tobago",Household,Online,L,2011-06-08T00:00:00.000000Z,512558400,2011-06-29T00:00:00.000000Z,6276,668.27,502.54,4194062.52,3153941.04,1040121.48,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
36,Europe,Kosovo,Meat,Offline,H,2016-02-14T00:00:00.000000Z,917329490,2016-03-18T00:00:00.000000Z,7036,421.89,364.69,2968418.04,2565958.84,402459.20,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
37,Europe,Hungary,"Personal Care",Online,C,2012-11-11T00:00:00.000000Z,344276177,2012-12-24T00:00:00.000000Z,7826,81.73,56.67,639618.98,443499.42,196119.56,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
38,"Sub-Saharan Africa",Botswana,"Personal Care",Offline,M,2010-10-26T00:00:00.000000Z,477822291,2010-12-10T00:00:00.000000Z,7089,81.73,56.67,579383.97,401733.63,177650.34,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
39,"Middle East and North Africa",Turkey,Beverages,Online,H,2012-08-21T00:00:00.000000Z,822704160,2012-10-07T00:00:00.000000Z,5298,47.45,31.79,251390.10,168423.42,82966.68,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
40,Europe,Serbia,Cosmetics,Online,C,2010-09-05T00:00:00.000000Z,953970611,2010-10-19T00:00:00.000000Z,9958,437.20,263.33,4353637.60,2622240.14,1731397.46,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
41,"Central America and the Caribbean",Guatemala,"Personal Care",Online,M,2013-07-05T00:00:00.000000Z,966982972,2013-08-21T00:00:00.000000Z,605,81.73,56.67,49446.65,34285.35,15161.30,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
42,"Middle East and North Africa","United Arab Emirates",Household,Offline,H,2011-10-29T00:00:00.000000Z,127415072,2011-10-30T00:00:00.000000Z,3806,668.27,502.54,2543435.62,1912667.24,630768.38,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
43,"Australia and Oceania","Samoa ",Vegetables,Offline,C,2012-07-18T00:00:00.000000Z,921253240,2012-08-06T00:00:00.000000Z,8161,154.06,90.93,1257283.66,742079.73,515203.93,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
44,"Sub-Saharan Africa",Botswana,Beverages,Offline,L,2012-04-12T00:00:00.000000Z,504796302,2012-05-31T00:00:00.000000Z,9298,47.45,31.79,441190.10,295583.42,145606.68,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
45,"Middle East and North Africa",Bahrain,"Office Supplies",Offline,H,2016-04-14T00:00:00.000000Z,154655587,2016-04-16T00:00:00.000000Z,4880,651.21,524.96,3177904.80,2561804.80,616100.00,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
46,"Central America and the Caribbean","Saint Vincent and the Grenadines",Snacks,Online,C,2011-12-13T00:00:00.000000Z,317754924,2012-01-13T00:00:00.000000Z,9598,152.58,97.44,1464462.84,935229.12,529233.72,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
47,"Middle East and North Africa",Pakistan,"Baby Food",Offline,M,2010-06-10T00:00:00.000000Z,161330640,2010-07-28T00:00:00.000000Z,176,255.28,159.42,44929.28,28057.92,16871.36,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
48,Europe,Hungary,Beverages,Online,C,2012-08-21T00:00:00.000000Z,722931563,2012-08-25T00:00:00.000000Z,370,47.45,31.79,17556.50,11762.30,5794.20,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
49,Europe,Poland,Cereal,Online,L,2012-11-28T00:00:00.000000Z,860419023,2012-12-15T00:00:00.000000Z,5964,205.70,117.11,1226794.80,698444.04,528350.76,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
50,"Middle East and North Africa","Tunisia ","Office Supplies",Online,C,2010-06-23T00:00:00.000000Z,401966845,2010-08-02T00:00:00.000000Z,9777,651.21,524.96,6366880.17,5132533.92,1234346.25,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
51,Europe,Lithuania,Fruits,Offline,M,2013-03-11T00:00:00.000000Z,596061360,2013-04-19T00:00:00.000000Z,6657,9.33,6.92,62109.81,46066.44,16043.37,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
52,"Australia and Oceania","Samoa ",Vegetables,Offline,H,2011-01-18T00:00:00.000000Z,961501395,2011-02-07T00:00:00.000000Z,8484,154.06,90.93,1307045.04,771450.12,535594.92,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
53,"Sub-Saharan Africa",Sudan,Beverages,Offline,M,2010-04-01T00:00:00.000000Z,637398278,2010-04-01T00:00:00.000000Z,9170,47.45,31.79,435116.50,291514.30,143602.20,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
54,Europe,Portugal,"Personal Care",Offline,H,2014-04-08T00:00:00.000000Z,633175837,2014-05-16T00:00:00.000000Z,9656,81.73,56.67,789184.88,547205.52,241979.36,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
55,"Australia and Oceania",Fiji,Vegetables,Online,C,2012-07-05T00:00:00.000000Z,678570401,2012-07-07T00:00:00.000000Z,2916,154.06,90.93,449238.96,265151.88,184087.08,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
56,"Sub-Saharan Africa",Tanzania,Meat,Online,M,2014-05-15T00:00:00.000000Z,573630797,2014-05-16T00:00:00.000000Z,8955,421.89,364.69,3778024.95,3265798.95,512226.00,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
57,"Sub-Saharan Africa","Sao Tome and Principe",Cosmetics,Online,H,2015-02-28T00:00:00.000000Z,638718354,2015-03-08T00:00:00.000000Z,9810,437.20,263.33,4288932.00,2583267.30,1705664.70,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
58,"Sub-Saharan Africa","Cape Verde",Meat,Online,L,2015-01-18T00:00:00.000000Z,364506900,2015-02-18T00:00:00.000000Z,4547,421.89,364.69,1918333.83,1658245.43,260088.40,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
59,"Middle East and North Africa",Lebanon,Vegetables,Offline,C,2015-04-07T00:00:00.000000Z,661982762,2015-05-21T00:00:00.000000Z,4265,154.06,90.93,657065.90,387816.45,269249.45,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
60,"North America",Greenland,"Personal Care",Online,H,2014-04-27T00:00:00.000000Z,712444770,2014-05-05T00:00:00.000000Z,7094,81.73,56.67,579792.62,402016.98,177775.64,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
61,"Sub-Saharan Africa",Guinea-Bissau,"Baby Food",Online,H,2011-10-16T00:00:00.000000Z,217504251,2011-12-04T00:00:00.000000Z,3196,255.28,159.42,815874.88,509506.32,306368.56,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
62,Europe,Georgia,Meat,Online,H,2012-02-06T00:00:00.000000Z,749085032,2012-03-05T00:00:00.000000Z,9762,421.89,364.69,4118490.18,3560103.78,558386.40,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
63,"Central America and the Caribbean",Jamaica,Meat,Online,L,2013-03-02T00:00:00.000000Z,799423444,2013-03-25T00:00:00.000000Z,6017,421.89,364.69,2538512.13,2194339.73,344172.40,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
64,Europe,Bulgaria,Snacks,Online,H,2010-03-11T00:00:00.000000Z,731068313,2010-04-28T00:00:00.000000Z,8215,152.58,97.44,1253444.70,800469.60,452975.10,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
65,Asia,Kazakhstan,Household,Offline,H,2014-07-29T00:00:00.000000Z,526880967,2014-08-28T00:00:00.000000Z,4641,668.27,502.54,3101441.07,2332288.14,769152.93,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
66,"Sub-Saharan Africa",Rwanda,Clothes,Online,H,2012-04-16T00:00:00.000000Z,240035235,2012-05-23T00:00:00.000000Z,615,109.28,35.84,67207.20,22041.60,45165.60,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
67,"Central America and the Caribbean",Grenada,Cosmetics,Offline,C,2013-01-31T00:00:00.000000Z,444017446,2013-03-18T00:00:00.000000Z,3484,437.20,263.33,1523204.80,917441.72,605763.08,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
68,"Central America and the Caribbean",Honduras,"Office Supplies",Online,H,2016-06-01T00:00:00.000000Z,882626426,2016-06-28T00:00:00.000000Z,7628,651.21,524.96,4967429.88,4004394.88,963035.00,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
69,Asia,Mongolia,"Office Supplies",Online,M,2015-03-27T00:00:00.000000Z,919973504,2015-04-05T00:00:00.000000Z,9459,651.21,524.96,6159795.39,4965596.64,1194198.75,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
70,"Central America and the Caribbean",Belize,Meat,Offline,M,2014-11-28T00:00:00.000000Z,890482509,2014-12-12T00:00:00.000000Z,2418,421.89,364.69,1020130.02,881820.42,138309.60,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
71,"North America","United States of America",Meat,Offline,H,2014-04-22T00:00:00.000000Z,748889768,2014-05-14T00:00:00.000000Z,1979,421.89,364.69,834920.31,721721.51,113198.80,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
72,"Sub-Saharan Africa","South Africa",Meat,Offline,C,2017-02-21T00:00:00.000000Z,520244109,2017-02-25T00:00:00.000000Z,648,421.89,364.69,273384.72,236319.12,37065.60,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
73,Europe,Austria,Vegetables,Online,C,2013-01-19T00:00:00.000000Z,749906861,2013-03-06T00:00:00.000000Z,2960,154.06,90.93,456017.60,269152.80,186864.80,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
74,"Australia and Oceania","Marshall Islands",Snacks,Offline,C,2011-09-02T00:00:00.000000Z,253551852,2011-09-20T00:00:00.000000Z,482,152.58,97.44,73543.56,46966.08,26577.48,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
75,"Sub-Saharan Africa","Sierra Leone",Household,Offline,C,2016-02-13T00:00:00.000000Z,167165410,2016-02-21T00:00:00.000000Z,6814,668.27,502.54,4553591.78,3424307.56,1129284.22,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
76,Europe,Romania,Meat,Offline,L,2011-08-28T00:00:00.000000Z,797046363,2011-10-06T00:00:00.000000Z,2586,421.89,364.69,1091007.54,943088.34,147919.20,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
77,Asia,Malaysia,Clothes,Offline,M,2014-11-24T00:00:00.000000Z,269806039,2015-01-10T00:00:00.000000Z,457,109.28,35.84,49940.96,16378.88,33562.08,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
78,Europe,Hungary,Cosmetics,Offline,C,2017-01-05T00:00:00.000000Z,382368266,2017-01-13T00:00:00.000000Z,122,437.20,263.33,53338.40,32126.26,21212.14,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
79,"Australia and Oceania","New Zealand",Beverages,Offline,M,2010-03-30T00:00:00.000000Z,751969373,2010-04-11T00:00:00.000000Z,3303,47.45,31.79,156727.35,105002.37,51724.98,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
80,"Sub-Saharan Africa",Mozambique,"Office Supplies",Offline,C,2014-05-25T00:00:00.000000Z,166158187,2014-06-30T00:00:00.000000Z,8755,651.21,524.96,5701343.55,4596024.80,1105318.75,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
81,"Sub-Saharan Africa",Namibia,Beverages,Offline,M,2012-06-25T00:00:00.000000Z,632796037,2012-07-14T00:00:00.000000Z,7264,47.45,31.79,344676.80,230922.56,113754.24,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
82,"Middle East and North Africa","Tunisia ","Personal Care",Offline,M,2015-01-30T00:00:00.000000Z,630056750,2015-03-12T00:00:00.000000Z,6649,81.73,56.67,543422.77,376798.83,166623.94,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
83,"Middle East and North Africa",Somalia,"Office Supplies",Online,L,2011-02-11T00:00:00.000000Z,956426656,2011-03-26T00:00:00.000000Z,6756,651.21,524.96,4399574.76,3546629.76,852945.00,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
84,Europe,Denmark,"Personal Care",Online,L,2017-01-30T00:00:00.000000Z,680704581,2017-02-03T00:00:00.000000Z,4467,81.73,56.67,365087.91,253144.89,111943.02,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
85,"Australia and Oceania","Solomon Islands",Beverages,Offline,L,2012-09-03T00:00:00.000000Z,292001855,2012-09-24T00:00:00.000000Z,8693,47.45,31.79,412482.85,276350.47,136132.38,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
86,"Australia and Oceania",Vanuatu,Vegetables,Online,H,2012-09-26T00:00:00.000000Z,349742305,2012-10-19T00:00:00.000000Z,5375,154.06,90.93,828072.50,488748.75,339323.75,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
87,Asia,Singapore,Meat,Offline,C,2010-06-13T00:00:00.000000Z,133662259,2010-06-19T00:00:00.000000Z,2488,421.89,364.69,1049662.32,907348.72,142313.60,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
88,Europe,Luxembourg,Fruits,Online,C,2011-06-04T00:00:00.000000Z,793810546,2011-06-07T00:00:00.000000Z,5036,9.33,6.92,46985.88,34849.12,12136.76,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
89,"Australia and Oceania",Australia,Cereal,Online,M,2014-10-06T00:00:00.000000Z,400548493,2014-10-17T00:00:00.000000Z,55,205.70,117.11,11313.50,6441.05,4872.45,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
90,Asia,Brunei,Household,Online,M,2016-11-03T00:00:00.000000Z,694549930,2016-11-17T00:00:00.000000Z,1613,668.27,502.54,1077919.51,810597.02,267322.49,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
91,"Australia and Oceania","Papua New Guinea",Vegetables,Offline,C,2015-02-10T00:00:00.000000Z,336801183,2015-02-21T00:00:00.000000Z,5809,154.06,90.93,894934.54,528212.37,366722.17,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
92,Europe,Romania,"Personal Care",Online,M,2011-11-12T00:00:00.000000Z,758601081,2011-12-21T00:00:00.000000Z,5772,81.73,56.67,471745.56,327099.24,144646.32,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
93,Asia,Kyrgyzstan,"Personal Care",Offline,H,2010-06-18T00:00:00.000000Z,311560952,2010-08-04T00:00:00.000000Z,6664,81.73,56.67,544648.72,377648.88,166999.84,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
94,"Sub-Saharan Africa",Chad,Clothes,Online,H,2011-07-18T00:00:00.000000Z,117604625,2011-08-08T00:00:00.000000Z,677,109.28,35.84,73982.56,24263.68,49718.88,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
95,"Middle East and North Africa",Somalia,Cereal,Online,C,2016-10-25T00:00:00.000000Z,918968427,2016-11-10T00:00:00.000000Z,2034,205.70,117.11,418393.80,238201.74,180192.06,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
96,"Sub-Saharan Africa",Togo,Clothes,Offline,L,2010-02-11T00:00:00.000000Z,828201186,2010-03-02T00:00:00.000000Z,1990,109.28,35.84,217467.20,71321.60,146145.60,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
97,"Sub-Saharan Africa",Mali,Household,Online,L,2014-03-17T00:00:00.000000Z,278164231,2014-04-21T00:00:00.000000Z,3832,668.27,502.54,2560810.64,1925733.28,635077.36,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
98,Europe,"San Marino",Snacks,Online,M,2011-04-11T00:00:00.000000Z,672031390,2011-04-13T00:00:00.000000Z,7877,152.58,97.44,1201872.66,767534.88,434337.78,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
99,Europe,Croatia,"Baby Food",Online,L,2014-11-08T00:00:00.000000Z,333288991,2014-12-06T00:00:00.000000Z,6474,255.28,159.42,1652682.72,1032085.08,620597.64,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
100,Asia,Taiwan,"Baby Food",Offline,H,2013-01-16T00:00:00.000000Z,355735862,2013-01-19T00:00:00.000000Z,9002,255.28,159.42,2298030.56,1435098.84,862931.72,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
101,"Central America and the Caribbean",Barbados,Meat,Offline,M,2010-02-23T00:00:00.000000Z,553483331,2010-03-29T00:00:00.000000Z,6872,421.89,364.69,2899228.08,2506149.68,393078.40,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
102,"Sub-Saharan Africa","Equatorial Guinea",Cosmetics,Offline,H,2015-04-30T00:00:00.000000Z,810955226,2015-05-15T00:00:00.000000Z,8527,437.20,263.33,3728004.40,2245414.91,1482589.49,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
103,"Central America and the Caribbean",Guatemala,Vegetables,Online,M,2016-02-03T00:00:00.000000Z,632887876,2016-02-07T00:00:00.000000Z,4441,154.06,90.93,684180.46,403820.13,280360.33,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
104,Europe,"United Kingdom",Household,Offline,L,2012-05-12T00:00:00.000000Z,494330108,2012-06-29T00:00:00.000000Z,2119,668.27,502.54,1416064.13,1064882.26,351181.87,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
105,"Sub-Saharan Africa","Equatorial Guinea",Vegetables,Online,L,2012-09-18T00:00:00.000000Z,490643250,2012-09-20T00:00:00.000000Z,1096,154.06,90.93,168849.76,99659.28,69190.48,2024-11-04T04:05:00.000000Z,2024-11-04T04:05:00.000000Z
